,edit_count,sentiment,neg_sentiment
2019-11-23,1.2666666666666666,-0.1805509690387879,1.1333333333333333
2019-11-24,1.5,-0.18672899274041024,1.2666666666666666
2019-11-25,1.5,-0.18672899274041024,1.2666666666666666
2019-11-26,1.5,-0.18672899274041024,1.2666666666666666
2019-11-27,1.5,-0.18672899274041024,1.2666666666666666
2019-11-28,1.5,-0.18672899274041024,1.2666666666666666
2019-11-29,1.5,-0.18672899274041024,1.2666666666666666
2019-11-30,1.5,-0.18672899274041024,1.2666666666666666
2019-12-01,1.5,-0.18672899274041024,1.2666666666666666
2019-12-02,1.5,-0.18672899274041024,1.2666666666666666
2019-12-03,1.5,-0.18672899274041024,1.2666666666666666
2019-12-04,1.5333333333333334,-0.22002942828347055,1.3
2019-12-05,1.3666666666666667,-0.20497224753253285,1.1666666666666667
2019-12-06,0.9333333333333333,-0.17188502468129313,0.7333333333333333
2019-12-07,0.9333333333333333,-0.17188502468129313,0.7333333333333333
2019-12-08,0.6333333333333333,-0.1465873078694419,0.4666666666666667
2019-12-09,0.6333333333333333,-0.1465873078694419,0.4666666666666667
2019-12-10,0.6,-0.11330691538159808,0.43333333333333335
2019-12-11,0.5333333333333333,-0.11363800825580718,0.36666666666666664
2019-12-12,0.6333333333333333,-0.10376564127112191,0.4
2019-12-13,0.6666666666666666,-0.13645389141544462,0.43333333333333335
2019-12-14,0.6666666666666666,-0.13645389141544462,0.43333333333333335
2019-12-15,0.6666666666666666,-0.13645389141544462,0.43333333333333335
2019-12-16,0.6666666666666666,-0.13645389141544462,0.43333333333333335
2019-12-17,0.6666666666666666,-0.13645389141544462,0.43333333333333335
2019-12-18,0.6666666666666666,-0.13645389141544462,0.43333333333333335
2019-12-19,0.6666666666666666,-0.13645389141544462,0.43333333333333335
2019-12-20,0.5666666666666667,-0.1232371144351505,0.36666666666666664
2019-12-21,0.5666666666666667,-0.1232371144351505,0.36666666666666664
2019-12-22,0.5333333333333333,-0.09774616687070754,0.3333333333333333
2019-12-23,0.5333333333333333,-0.09774616687070754,0.3333333333333333
2019-12-24,0.3,-0.09156814316908518,0.2
2019-12-25,0.3,-0.09156814316908518,0.2
2019-12-26,0.3,-0.09156814316908518,0.2
2019-12-27,0.3333333333333333,-0.11658633649349212,0.23333333333333334
2019-12-28,0.3333333333333333,-0.11658633649349212,0.23333333333333334
2019-12-29,0.3333333333333333,-0.11658633649349212,0.23333333333333334
2019-12-30,0.3333333333333333,-0.11658633649349212,0.23333333333333334
2019-12-31,0.3333333333333333,-0.11658633649349212,0.23333333333333334
2020-01-01,0.3333333333333333,-0.11658633649349212,0.23333333333333334
2020-01-02,0.3333333333333333,-0.11658633649349212,0.23333333333333334
2020-01-03,0.3,-0.08328590095043183,0.2
2020-01-04,0.23333333333333334,-0.08108539779980978,0.16666666666666666
2020-01-05,0.23333333333333334,-0.08108539779980978,0.16666666666666666
2020-01-06,0.23333333333333334,-0.08108539779980978,0.16666666666666666
2020-01-07,0.23333333333333334,-0.08108539779980978,0.16666666666666666
2020-01-08,0.23333333333333334,-0.08108539779980978,0.16666666666666666
2020-01-09,0.23333333333333334,-0.08108539779980978,0.16666666666666666
2020-01-10,0.16666666666666666,-0.047834076484044384,0.1
2020-01-11,0.06666666666666667,-0.05770644346872965,0.06666666666666667
2020-01-12,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-13,0.03333333333333333,-0.025018193324406933,0.03333333333333333
